key,m,z,b,x
8694,0|1,0|0,0|0,1|1
7489,1|4,0|1,0|0,0|0
8245,1|3,1|2,0|0,1|2
8268,0|4,0|0,1|1,0|1
9566,3|8,0|0,0|0,0|0
7067,1|3,0|1,0|0,0|0
7884,2|6,0|0,0|0,2|2
6719,0|5,0|0,0|0,0|1
6319,0|4,0|1,0|0,0|0
6325,0|3,0|0,0|0,1|1
6274,3|5,0|1,1|1,4|7
8679,5|5,0|0,0|0,0|0
7484,0|3,0|0,0|1,0|1
8280,0|1,1|2,0|0,1|1
7892,1|3,0|1,0|0,1|1
6668,4|4,0|0,0|0,1|1
7071,0|4,0|0,0|0,1|2
9987,0|2,0|0,0|0,0|2
9160,1|2,0|0,0|0,0|0
7885,0|5,0|1,0|0,1|1
6685,4|4,1|1,0|0,0|0
7050,3|3,0|1,0|0,0|0
9575,2|3,0|0,0|0,0|0
7476,0|4,0|0,0|0,0|1
9572,0|4,0|1,0|0,1|1
9975,3|4,0|0,0|0,4|4
9142,1|2,0|0,1|1,0|0
8247,1|1,0|0,0|0,0|0
7058,0|2,0|1,0|1,1|2
7481,0|3,0|0,0|0,0|0
7101,0|2,0|1,0|0,0|1
8252,1|1,0|0,1|1,0|0
7081,1|3,0|0,0|0,0|2
7065,6|6,0|0,0|0,2|2
904,2|11,0|1,0|1,1|1
544,2|8,0|1,0|0,0|1
548,2|5,0|2,0|0,0|0
2143,4|6,1|1,0|0,0|0
10000491,4|5,1|2,0|0,0|0
10000935,3|4,2|2,0|0,2|2
10000204,9|14,1|3,1|2,2|4
1863,8|12,0|0,0|0,0|1
536,9|10,0|1,0|1,1|1
13475,0|2,0|0,0|1,1|1
11410,1|3,0|1,0|0,0|0
12959,1|3,0|1,1|1,1|1
12408,0|6,0|0,0|0,1|1
15208,4|5,1|1,1|1,1|2
12376,1|4,0|0,1|1,1|3
1539,0|4,0|2,0|0,0|1
2167,1|5,0|2,0|0,1|2
1545,0|2,0|2,0|0,0|1
2466,1|5,0|1,0|0,1|1
11859,1|4,0|1,0|0,3|3
12953,1|9,0|1,1|1,1|1
12414,0|2,0|0,0|0,0|1
12973,1|3,0|0,0|0,0|0
12398,0|4,0|0,0|0,0|0
13988,2|2,0|2,0|0,0|1
11399,2|2,1|1,0|0,1|1
12944,1|2,1|1,0|0,0|0
13487,2|4,1|3,0|0,0|1
12942,0|1,1|2,0|0,0|0
10921,0|4,1|1,0|0,0|1
11377,1|3,0|1,1|1,0|1
10950,2|4,2|2,0|0,0|0
10439,0|5,0|1,0|0,0|2
1233,4|5,1|2,0|0,0|0
10000624,3|3,0|0,0|1,1|1
2170,1|8,0|1,0|1,0|0
905,3|6,0|1,0|0,0|0
1237,2|5,0|2,0|2,0|0
887,6|7,0|0,0|1,0|0
1240,3|6,1|1,0|0,0|1
10000399,4|7,3|5,0|0,0|0
10000817,2|5,1|2,0|0,0|0
10000155,6|8,3|3,3|4,2|7
535,6|6,1|2,0|1,1|1
550,4|4,1|2,0|0,0|2
1227,2|3,1|2,0|0,0|0
2444,2|4,0|2,0|0,0|0
10000883,7|7,0|0,0|0,1|1
902,3|7,1|2,0|0,0|3
1541,4|4,0|2,0|0,1|2
10000836,3|3,0|0,0|0,0|0
1251,0|6,0|2,0|0,0|0
1226,4|7,0|0,0|0,0|0
527,6|7,1|1,0|1,0|0
1849,6|6,1|1,0|0,0|1
1225,8|8,1|1,0|0,0|0
525,2|6,0|1,0|0,1|1
1855,7|7,1|1,0|0,2|2
538,4|4,0|0,1|1,3|3
2169,2|3,0|0,0|1,0|0
886,3|4,2|3,0|0,0|1
1244,1|9,0|0,0|1,0|1
1000085,7|7,3|3,0|0,0|0
897,5|5,2|2,0|0,0|1
1000081,6|8,1|2,1|1,0|0
10000818,6|7,3|3,0|0,0|0
1864,0|7,0|1,0|1,0|0
539,3|3,0|0,0|1,0|1
1846,3|3,1|1,0|0,2|2
1000082,3|3,0|0,0|0,1|1
2464,4|4,0|0,0|0,2|2
10000939,3|4,0|0,1|1,3|4
19471,1|4,0|1,0|0,0|0
20157,0|2,0|0,0|0,1|1
18696,1|4,0|1,0|0,0|0
21487,2|6,0|0,1|1,0|0
21483,5|8,0|1,0|0,0|0
16541,1|6,0|1,0|0,3|3
20150,3|5,0|0,0|0,2|2
20193,0|4,0|0,0|0,0|0
20842,2|6,0|0,1|1,0|0
20828,0|6,0|0,0|0,0|2
19435,3|4,1|1,0|0,0|0
19464,0|3,0|0,0|0,0|0
16561,3|6,0|0,0|0,1|4
20152,0|2,0|1,0|0,1|1
21528,0|6,0|1,0|0,0|1
19437,1|4,0|0,0|0,0|0
17227,1|7,0|0,0|0,0|1
17961,3|5,0|0,0|0,0|0
18701,2|3,0|0,0|0,1|1
17973,3|4,0|0,0|0,2|2
19447,4|6,0|0,0|0,0|1
22176,3|6,0|0,0|0,0|0
22185,1|5,0|0,1|1,0|0
17991,1|3,0|0,0|0,0|0
17975,1|6,0|0,0|0,0|0
17256,1|1,0|0,0|0,0|0
17996,1|6,0|0,0|0,1|2
17989,2|4,0|0,0|0,1|1
16566,0|5,0|0,0|0,2|3
21481,3|6,2|2,0|1,0|0
18745,3|4,0|0,0|0,0|0
20194,1|8,0|0,0|0,1|2
19430,4|5,0|0,0|0,0|0
1543,9|12,1|1,0|1,0|0
1535,2|5,0|0,0|0,0|2
1559,3|5,0|1,0|0,0|3
20164,0|6,0|0,0|1,1|2
15857,1|2,0|0,1|1,1|1
20181,5|5,0|0,1|1,1|1
18747,2|2,0|0,1|2,0|1
15870,0|1,0|1,2|4,2|3
5539,0|1,1|1,0|1,2|2
3767,0|3,0|0,0|1,1|1
4083,1|3,0|0,0|1,0|1
4465,0|6,0|0,2|3,0|0
4442,2|7,0|1,0|1,0|0
4789,4|12,0|0,0|2,1|1
3777,2|7,0|0,0|2,0|0
5133,8|8,1|1,1|1,1|1
5515,0|0,0|1,0|4,2|2
4457,2|5,0|0,1|1,0|0
2786,0|4,0|0,0|1,0|1
5160,0|0,0|0,0|2,0|1
5890,4|6,0|3,2|2,1|1
2770,2|6,0|2,0|2,2|6
2784,1|4,0|1,0|1,0|0
3430,3|5,1|1,1|2,1|1
3781,0|7,0|0,0|2,0|0
5902,6|6,0|1,2|2,1|1
3092,0|3,0|0,0|1,3|3
5145,1|4,0|0,0|1,0|1
5552,1|4,0|0,0|1,0|0
5134,3|7,0|0,0|1,1|1
5525,0|5,0|0,0|2,1|1
3433,2|5,0|0,0|1,2|3
5541,0|1,0|1,1|2,0|0
3427,3|6,0|0,0|1,0|1
5538,2|6,0|0,1|1,0|0
3089,0|4,0|0,0|1,0|0
4450,2|7,0|0,0|2,0|0
3439,0|6,0|0,0|1,0|0
4810,2|3,0|0,1|2,1|1
3080,1|4,0|0,0|1,0|1
2764,8|8,0|0,1|2,1|1
4804,2|2,2|2,2|2,2|2
4084,8|9,2|2,2|2,1|1
3778,0|2,1|1,0|2,0|0
11855,1|8,0|0,2|3,1|1
14576,4|6,0|0,0|1,1|1
10923,0|4,0|0,0|0,1|2
15222,0|6,0|1,1|2,0|0
11845,2|3,0|0,0|0,0|0
7473,0|3,0|0,0|0,1|1
7455,0|3,0|0,0|0,0|0
8258,2|6,0|0,0|0,1|1
9587,2|5,0|0,0|0,0|0
9139,3|7,0|0,0|0,0|0
3776,1|4,0|0,1|2,0|2
5557,2|4,0|1,0|0,1|1
5942,1|3,0|0,0|0,0|0
3445,0|4,0|0,0|0,0|1
4095,1|6,0|0,1|1,0|0
4798,0|5,0|0,0|0,0|0
4092,2|2,0|0,1|1,0|2
4463,0|11,0|0,0|0,0|0
4096,2|3,0|0,0|0,0|0
4456,2|6,0|0,0|0,0|0
2759,6|7,0|0,1|1,1|1
3431,3|6,0|0,0|0,0|0
5147,0|6,0|1,0|0,2|2
5530,0|4,0|0,0|2,0|2
5150,2|7,0|0,0|0,0|0
15878,1|5,0|0,2|2,0|0
20184,0|2,0|0,0|0,0|0
16564,0|2,0|0,0|0,1|2
18731,1|3,0|0,0|0,2|2
20809,1|2,0|3,0|0,1|1
15871,0|5,0|1,3|3,3|4
19458,1|5,0|0,0|0,1|1
18727,0|3,0|0,0|0,0|0
18006,2|3,1|1,0|0,1|1
20174,1|4,0|0,0|0,0|0
20810,2|3,0|0,0|0,0|0
20848,0|4,0|0,0|1,1|1
19426,1|1,3|3,0|0,0|1
17230,1|4,0|1,0|0,0|0
20170,0|1,0|1,0|0,0|1
2145,3|4,0|2,0|1,0|4
10000641,3|5,0|0,0|1,0|1
892,3|4,1|3,0|2,0|0
540,3|7,0|1,0|1,0|1
2149,3|5,2|4,0|0,0|0
524,2|3,0|1,0|0,0|3
2463,5|5,1|1,0|0,1|1
10000536,2|4,1|1,0|0,1|4
185,2|3,1|1,0|0,0|0
2442,4|5,0|2,0|0,0|1
912,5|8,0|3,0|0,0|0
896,5|7,1|1,0|0,0|1
529,2|7,0|2,0|0,0|0
549,5|9,0|1,0|0,1|1
1542,3|3,1|3,0|0,0|0
913,0|7,0|1,0|0,0|0
10000312,6|8,0|2,0|0,0|2
537,1|2,0|1,0|0,0|2
1236,2|7,0|0,0|0,0|0
10000507,7|7,1|1,1|1,0|0
1000036,7|12,1|1,2|3,3|5
1544,2|5,1|2,0|0,0|0
1868,6|9,0|2,0|0,0|1
2146,1|7,0|2,0|0,0|0
10000493,4|5,1|1,0|0,1|3
1852,5|7,1|1,0|0,3|3
910,3|5,1|2,0|0,0|2
10000679,2|4,1|1,0|0,0|2
1000025,1|2,0|1,0|0,0|0
1538,4|4,1|1,0|0,1|2
6693,0|2,0|0,0|0,0|0
8262,2|2,0|0,0|0,1|1
6286,1|3,0|1,0|0,0|0
6678,0|6,0|1,0|0,0|1
7852,1|1,0|0,0|0,0|0
9561,0|3,0|0,0|0,0|0
7863,4|4,1|1,0|0,1|1
7886,2|4,0|0,0|0,1|1
17233,0|1,0|0,0|1,1|2
17220,5|5,0|0,0|0,0|0
20173,6|7,0|1,0|0,0|0
20188,1|4,0|0,0|0,1|1
19423,1|3,0|1,0|0,0|0
19425,4|4,0|0,0|0,2|2
20159,1|3,0|0,0|0,0|0
20815,1|4,1|1,0|0,0|0
7099,1|2,0|0,0|1,1|1
7469,1|1,0|0,1|1,0|0
7443,3|4,0|0,0|0,0|0
8255,2|4,0|1,0|0,2|2
8256,2|3,0|0,0|0,1|1
6713,2|2,1|3,0|0,0|0
7474,1|1,0|2,0|0,0|0
6272,3|4,2|2,0|0,3|3
7080,1|2,0|0,0|0,0|0
7875,2|3,0|1,0|0,0|3
7083,0|3,0|0,0|0,1|2
7045,3|3,1|1,0|0,1|1
7846,2|3,1|1,1|1,0|0
8263,5|5,0|0,0|0,0|0
6278,3|4,1|1,0|0,0|2
6699,1|3,0|2,0|0,2|2
9563,2|2,0|2,0|0,1|1
8717,1|2,0|0,0|0,1|2
9996,0|3,0|0,0|0,0|0
9995,0|3,0|2,0|1,0|0
7076,1|4,0|1,1|1,0|0
7447,2|5,0|0,0|0,0|0
9137,2|3,0|0,0|0,0|0
6709,1|3,0|1,0|0,0|0
7478,0|1,0|0,0|0,0|0
8282,0|2,0|0,0|0,1|1
9157,1|3,1|1,0|0,1|1
5153,0|5,0|0,0|0,1|2
5507,2|4,1|2,0|1,0|1
4097,0|9,0|1,0|0,1|2
5532,1|4,0|0,0|1,2|3
4448,3|3,2|2,1|1,1|1
5937,2|4,1|1,0|0,1|1
3436,4|8,0|0,0|0,0|1
4802,2|5,0|0,0|0,1|1
6318,1|2,0|0,0|0,0|0
8682,1|4,1|1,0|0,0|0
7049,1|2,0|0,0|0,2|2
9968,5|7,1|1,1|1,0|0
14588,1|4,0|2,0|1,0|2
12430,0|1,0|0,0|0,0|1
11842,0|4,0|0,0|0,0|1
14590,0|3,0|0,0|0,1|1
15242,0|0,1|1,0|0,1|1
10945,1|3,1|1,1|1,2|2
12387,2|4,0|0,1|1,1|1
10944,0|1,0|0,0|0,2|2
12394,1|2,0|0,0|0,0|3
10446,1|3,0|1,3|3,4|4
12945,0|2,0|1,0|0,1|2
12968,1|5,0|0,0|0,2|2
12943,1|4,0|0,0|0,2|2
530,5|5,0|0,0|0,2|2
889,2|6,0|1,0|0,0|1
1533,6|8,1|3,0|1,1|1
14582,1|5,0|2,1|2,0|0
10914,1|4,0|1,0|0,0|1
12384,0|1,0|0,0|0,0|0
12996,0|5,0|0,0|0,0|1
14612,2|3,0|2,0|0,1|1
2441,6|9,0|0,0|0,2|2
3442,2|5,1|2,0|0,1|1
3775,1|3,0|0,0|0,0|0
5144,0|2,0|1,0|1,1|3
4461,0|8,0|0,0|1,0|0
3423,2|7,0|0,0|1,0|0
528,1|5,0|3,0|0,0|1
2440,3|4,1|2,1|1,0|0
547,4|6,0|1,0|0,0|0
2162,5|5,5|5,0|0,0|0
2138,2|6,0|0,0|0,0|0
10929,3|6,0|0,0|0,0|0
15233,3|5,0|1,0|0,0|0
13484,0|3,0|0,0|0,1|1
11886,5|6,0|0,0|0,0|0
12429,1|3,0|1,2|2,2|2
11856,0|1,0|1,0|0,0|0
15228,0|2,0|0,0|0,0|0
10942,0|1,2|2,0|0,1|1
14583,0|1,0|1,0|0,1|1
12940,1|4,0|0,0|0,0|0
10932,2|3,0|0,0|0,2|2
12393,3|4,0|0,0|0,0|0
11386,1|5,0|0,0|0,0|0
11414,1|4,0|0,0|0,1|1
12999,0|1,0|0,0|0,0|0
12403,1|3,0|0,0|0,0|0
15219,2|3,0|1,1|1,1|1
14604,3|5,1|1,0|0,1|1
10444,1|2,0|0,1|1,0|0
10470,1|3,0|0,0|0,0|0
11392,1|3,0|0,0|0,0|0
14014,1|2,0|0,0|0,0|0
13995,0|3,0|0,0|0,0|0
14585,2|3,0|0,0|1,0|0
12975,1|2,1|1,1|1,2|2
14009,1|1,0|0,0|0,1|2
12375,2|2,0|1,0|0,1|1
12426,1|6,0|0,0|1,0|1
12416,1|5,0|0,0|0,0|2
11404,0|6,0|0,0|0,1|1
12981,1|2,0|0,1|1,2|2
12960,2|3,0|0,2|2,0|0
12986,0|2,0|0,1|1,0|1
5163,6|6,0|0,0|0,3|3
4453,4|10,0|0,0|0,2|3
5141,4|4,0|0,0|0,2|2
5945,3|6,0|0,0|0,0|0
5928,3|5,0|0,1|1,0|0
5939,1|5,1|3,0|0,1|1
2449,2|2,1|1,0|0,0|0
2452,9|11,1|2,0|0,0|0
2472,4|6,0|3,0|1,0|0
2158,2|2,0|0,0|0,1|2
1548,2|4,1|2,0|0,0|1
2163,2|3,0|4,0|0,1|1
10000631,4|5,0|0,0|0,1|1
10000853,4|5,1|1,0|0,0|0
2161,5|10,0|2,0|0,1|2
10000552,11|13,2|3,0|0,0|0
10000683,1|6,1|2,0|0,0|1
1858,4|4,1|1,0|0,1|2
2470,7|9,0|0,0|0,0|0
10000462,2|4,1|2,0|1,0|1
2450,5|7,1|1,0|0,1|2
6683,1|2,0|0,1|1,0|0
8253,4|4,1|1,0|0,1|1
7856,1|2,0|0,0|0,1|1
8695,1|2,1|1,0|0,1|1
9133,5|5,2|2,0|0,0|0
6682,0|5,0|0,0|0,0|2
9967,2|3,2|2,0|0,0|0
6669,1|2,0|1,0|0,0|0
9560,5|6,0|0,0|0,0|0
8719,0|2,0|1,0|0,0|0
7477,1|1,1|1,0|0,1|1
7073,0|3,0|0,0|0,0|0
9988,0|3,0|0,0|0,0|0
7867,2|7,0|1,0|0,1|1
9965,0|4,1|1,0|0,1|1
7893,0|5,0|2,0|0,0|0
7850,5|7,0|0,0|0,2|2
13478,0|6,0|1,0|1,0|1
11380,1|1,0|0,0|0,0|0
15247,4|5,0|1,0|0,1|1
13993,1|5,0|0,0|0,0|0
14575,2|4,0|0,1|1,1|1
11376,2|3,1|1,0|0,0|1
10457,3|6,0|0,0|0,1|1
10940,0|3,0|0,0|0,0|0
12389,0|1,0|1,0|0,1|1
6665,1|3,0|0,1|1,1|1
9582,4|5,1|1,0|0,2|2
6712,0|6,0|0,0|0,0|0
7450,3|5,0|0,0|1,1|1
7490,0|4,0|0,0|0,1|2
9559,2|4,0|0,0|0,1|1
7444,0|7,0|0,0|2,0|0
7495,1|2,0|1,0|0,0|0
8285,3|6,0|0,0|1,0|0
8693,0|0,1|1,2|2,4|4
7048,4|6,1|3,1|1,1|1
6299,0|2,0|1,0|1,1|1
8699,3|6,0|0,1|2,1|1
9981,0|3,0|1,1|1,2|3
9586,0|0,0|0,0|1,0|0
6309,2|2,0|0,0|1,0|0
6284,0|1,1|2,0|1,2|3
7070,1|4,0|2,0|1,2|4
9557,1|2,1|1,3|3,1|1
7861,0|1,0|0,1|1,4|4
13473,0|3,0|0,1|1,0|0
10951,1|2,0|2,0|2,0|0
11858,0|2,0|0,1|1,0|0
13974,0|1,0|0,1|1,0|0
12386,1|4,0|0,0|1,0|0
14605,1|2,0|0,1|1,0|0
11849,2|2,0|0,1|1,0|0
12379,2|5,0|0,1|1,1|1
12997,1|3,0|1,1|1,0|0
14016,1|4,0|0,1|1,1|1
10933,1|4,0|0,1|3,1|2
10947,1|4,0|0,0|1,0|0
12378,0|1,0|0,2|2,0|0
14580,1|4,0|0,1|1,1|1
12965,0|2,0|0,1|1,0|1
14578,1|2,2|2,0|0,0|0
12417,0|3,0|0,0|0,1|1
14010,0|1,0|0,0|0,1|2
12966,0|3,0|0,0|0,1|1
12964,1|4,0|0,1|1,1|2
10953,1|3,0|0,0|0,1|1
11391,2|5,0|1,0|0,0|0
10453,2|4,0|0,1|3,0|0
10922,0|3,0|0,1|1,0|0
6300,2|2,0|0,0|0,0|0
9585,1|4,0|1,0|0,0|2
6657,0|5,0|0,0|0,3|3
6707,0|2,0|0,0|0,0|0
7457,0|4,0|0,0|0,2|2
8260,0|1,0|0,0|0,2|2
6265,1|4,1|1,0|0,3|4
8281,2|5,0|0,0|0,0|0
6679,0|4,0|0,0|0,0|0
7870,3|3,1|1,0|0,1|1
8278,0|2,1|2,0|0,0|0
9159,1|1,0|0,0|0,2|2
9570,0|5,0|1,0|0,0|0
3766,4|6,1|1,0|0,0|1
4778,1|5,1|1,0|0,1|1
4087,0|5,0|0,0|0,0|0
5158,5|5,2|2,0|0,0|0
5162,0|5,0|1,0|0,1|2
5537,0|6,0|1,0|0,0|1
5901,0|3,1|1,0|1,1|2
5157,0|6,0|1,0|0,2|3
4462,0|4,0|1,0|0,0|0
5935,5|8,0|0,0|0,2|2
5899,6|7,0|0,1|1,0|0
3425,2|5,1|1,0|1,0|1
5520,0|6,0|0,0|0,0|1
15883,2|3,1|1,0|2,0|0
20811,1|6,0|0,0|0,0|1
20148,1|7,1|2,0|0,0|1
18725,0|3,0|0,0|0,0|0
15879,2|3,0|1,1|2,1|1
22161,0|3,0|0,0|0,0|0
17235,0|2,0|1,0|0,0|0
5556,1|5,0|0,0|0,2|2
5948,4|5,0|0,1|1,2|2
5933,2|3,0|0,0|0,0|0
4807,0|5,0|0,0|0,0|3
5893,1|4,0|0,0|0,0|0
3769,3|7,0|0,0|0,0|0
5907,3|4,0|0,1|1,2|3
4454,3|4,0|0,1|1,0|0
5521,4|5,0|0,0|0,1|1
5509,0|3,0|1,0|0,0|1
5522,2|3,0|0,0|0,0|1
5908,0|5,0|1,0|2,0|0
3075,3|3,1|1,0|0,0|0
4100,0|3,1|1,0|0,0|1
3792,3|5,1|1,0|1,0|0
3093,1|2,0|0,0|0,0|1
10471,1|6,0|1,1|3,0|0
12976,0|1,0|0,1|1,0|1
12957,0|1,0|0,1|1,0|1
13451,0|1,0|0,2|2,0|0
10462,0|4,0|0,1|1,1|2
13989,2|2,0|1,1|1,0|0
14565,2|3,0|0,1|1,0|0
14003,2|6,0|0,1|1,0|0
11400,0|2,0|0,0|2,0|0
10916,1|1,0|0,1|1,1|1
10443,3|3,1|1,1|1,1|1
13998,1|5,1|1,2|2,2|2
11370,0|2,0|0,0|1,0|0
14603,1|2,0|0,0|2,0|1
1861,2|4,0|2,0|0,0|2
