artist,title,key,song_url,year
A Great Big World & Christina Aguilera,Say Something,1000014,170ff3fb25eedcb8e2b7f513b6c07f5d508cfe91,2013
Adele,Hello,1000019,4ab65f9b193ccc37f2059344322462ae5e9dac90,2015
Adele,Rolling In The Deep,1000020,efebcbfff09e158af7edcd30aff46dbe671093d1,2011
Adele,Set Fire To The Rain,1000022,70e56ff5287602e2720bec6838e51cb89fa2ce2d,2012
Adele,Someone Like You,1000024,d808ccb1a59c5f21a14cf8da9974558f84366933,2011
Akon,Don't Matter,1000025,929cca4b240638ddf8fc85f14cc5ee149994735e,2007
Alicia Keys,No One,1000036,ae1de653e895ee09c1395168f5a64e71293ce86a,2007
Ariana Grande Featuring Iggy Azalea,Problem,1000048,e9bdd264346659b7a12bbb5cb230270375913a03,2014
Ariana Grande Featuring Zedd,Break Free,1000050,8c05f69c0b829d9be4ea2fdbc34eaa2eeed99464,2014
Avicii,Wake Me Up!,1000058,111256313f35a8b2a3e1628a83504330b489f04f,2013
Avril Lavigne,Girlfriend,1000059,bf7d1b11bb867c8be04f222a970e80dd525e1b51,2007
B.o.B Featuring Bruno Mars,Nothin' On You,1000065,cb93cd5770a3ff6824d8cfcb7e743c9be99c0246,2010
B.o.B Featuring Hayley Williams,Airplanes,1000066,8c83787fff0b72fd657d43c15e98bc24860ea061,2010
Baauer,Harlem Shake,1000070,4c842f5324d3c03d3c66ebb546551373c82f992d,2013
Bad Meets Evil Featuring Bruno Mars,Lighters,1000074,00f11e250a7690305b9edacece8f29b028a889e4,2011
Beyonce,If I Were A Boy,1000081,f12c28a584052bea2731e3589644a77165b02f7c,2008
StainD,"It's Been Awhile",2174,7c98137672d37068f9081aff2c5031d91dff772d,2001
Puddle Of Mudd,Blurry,1874,180349c53d51fb0e6a5dfac15a82a89a7cb478fe,2001
Bryan Adams,Summer Of 69,7898,8f236b9796f6cae7f6dd9a57a45eb09e5c523ee0,1984
The Calling,Wherever You Will Go,1872,1f3272b3b5aec351247ca5c2cbee00256447eacc,2001
Beyonce,Irreplaceable,1000082,b1cd9ecf3b5108363846f497897b5bcbec44343a,2007
Beyonce,Single Ladies (Put A Ring On It),1000085,69c8bae97df9121ee440b23053fe20f64c204408,2008
Beyonce & Shakira,Beautiful Liar,1000087,fe55d5e4879a799186e29d24a3c9ffb0c1f9d9ab,2007
Beyonce Featuring Jay Z,Drunk In Love,1000088,7052c45ae9298c38fdbd1b45bec7fc5f554fafa0,2014
Britney Spears,3,10000106,e81c9d1d6a26d0032f3e90bf8ccfa4c024e138fa,2009
Britney Spears,Circus,10000107,8085b6ee836e9cbb7032576fcf8f1b51d9a53c0d,2008
Britney Spears,Gimme More,10000108,933d11a18d0ec4884f4a9620f4d628a7295e8faf,2007
Britney Spears,Hold It Against Me,10000109,e1d77a302f6486c643e0d10b057a53b7ab8187a8,2011
Britney Spears,Till The World Ends,10000113,fd017ae5c0a60cff3d5f5b4d37c4e8617c93b11f,2011
Britney Spears,Womanizer,10000114,40c87bb00fe6bab71f758643b2d1e598c5374410,2008
Bruno Mars,Grenade,10000116,d6fc23418ef4a090922decfe6a47c7bc87c1d762,2010
Bruno Mars,It Will Rain,10000117,4bde10ded8aebaf304f6e76b249b74b632624fcb,2011
Bruno Mars,Just The Way You Are,10000118,c5aded22dbb2b2555055099237ea9bd4af813b70,2010
Bruno Mars,Locked Out Of Heaven,10000119,c647489f28d840b545b90e10067012f504dc7b68,2012
Bruno Mars,The Lazy Song,10000120,6dda0f582db7db112f377d36df313cf04e706f27,2011
Bruno Mars,When I Was Your Man,10000122,d93150cf43f68c863d9f73a6f1e2b3e64e44488e,2013
Carly Rae Jepsen,Call Me Maybe,10000134,9e00c551bf032195d93c04e712e093f1f300b766,2012
Cee Lo Green,F**k You (Forget You),10000147,27cd79ca009d7cb88970625eb55877d8be947130,2011
Chris Brown,Forever,10000155,0914bb8a4c59aecd041b7e02d34952e0355cd7a0,2008
Chris Brown,With You,10000159,21235ef8c4681cc476eae7ea105c98446980f27a,2008
Chris Brown Featuring T-Pain,Kiss Kiss,10000166,171dd3e18fbbcb4296f6953323af9f492e63c609,2007
Coldplay,Viva La Vida,10000193,bb0a310830636ebf8e5f6a1fa03d129a9724f7ec,2008
Daft Punk Featuring Pharrell Williams,Get Lucky,10000198,28c1195dcc64c65223ed1f439886d50f4ded7ba6,2013
Daughtry,It's Not Over,10000204,29705faacb871ad023d1afb7af5ef10b366843b4,2007
David Archuleta,Crush,10000209,b3ed28f1f0399ac3c85cbb03ec8d0a9201523ae4,2008
David Cook,The Time Of My Life,10000214,cff426789da1df52479477fcab4eac689f1ba18e,2008
David Guetta Featuring Nicki Minaj,Turn Me On,10000217,37b3a5334e6cd65824919c839875a3bf43940fe7,2012
David Guetta Featuring Usher,Without You,10000220,cc055342a76178ba255c2dd47b8a8571837b8d53,2011
Dixie Chicks,Not Ready To Make Nice,10000239,5b43cbc27cade313fdfeb57c1dd4da106bc3a1f3,2007
DJ Snake & Lil Jon,Turn Down For What,10000243,fde5f6c570eb2ecaca797c0984a247a47d3fdc21,2014
Dr. Dre Featuring Eminem & Skylar Grey,I Need A Doctor,10000244,c6c3f5faa398060b3ee88f828cc696ac332318c1,2011
Drake,Best I Ever Had,10000245,a871d3953cb41e951a7511f01a25b6463c3433dc,2009
Drake,Hotline Bling,10000248,0455057843d42c96b2a7848d4ad01114aae5aed2,2015
Drake Featuring Majid Jordan,"Hold On, We're Going Home",10000256,042da7bf83b274e19dfe3304ef4a6c6cc009441f,2013
Ed Sheeran,Thinking Out Loud,10000266,7fba47d0806142cb34ad2080a5f139eba915fe05,2015
Ellie Goulding,Lights,10000270,b1a8c57fd81f840e0e1471999710766f4d03d029,2012
Ellie Goulding,Love Me Like You Do,10000271,f437098b669a10a04a3347a93582c1a106a2bd14,2015
Eminem,Berzerk,10000275,de4631f2a4a2a7ea5f6c3356850e317594b13043,2013
Eminem,Not Afraid,10000277,8f06fb0da6f33333cdd8f4e781d5b14ec67b79cc,2010
Eminem Featuring Rihanna,Love The Way You Lie,10000283,ac01ca25aab5527bd250ceaad16cc4d78e702b00,2010
Eminem Featuring Rihanna,The Monster,10000284,32a734fb66fab8cdd78187f536602c83ed2ddf4b,2013
"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,10000286,884466198a8bbc7173a880faffed8608df453283,2009
Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You),10000288,131560aea6fa1df916a790940df2d3dfe0bb7db6,2011
Enrique Iglesias Featuring Pitbull,I Like It,10000289,eafb58a06091d179995000d4c7acbacfa663d0b0,2010
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",10000300,6d1615315df6fe525fc9d4f4baf5111622a6bce0,2007
Far*East Movement Featuring Cataracs & Dev,Like A G6,10000303,5ae09e2551a37019ee6b2a60c70a9b7bf2fe8811,2010
Fergie,Big Girls Don't Cry,10000308,404b43638db0d2ac459ab8fa3f62172276c0a4c0,2007
Fergie Featuring Ludacris,Glamorous,10000312,44f70866f6901b19ab4c31fe56ba96bd8f9e3b1c,2007
Fetty Wap,Trap Queen,10000313,62bf932cdc4d351174128d974397f5093de4f994,2015
Fetty Wap Featuring Remy Boyz,679,10000315,80fad54c551fb6e366ce5523ca4028361365fcd8,2015
Flo Rida,Good Feeling,10000319,9b7c873ffd4d9893608532492679e0dfca0229f9,2011
Flo Rida,Right Round,10000321,03ef1692505cecd8365373d11679d35af3880eee,2009
Flo Rida,Whistle,10000322,02a8a9e9982c7eb58f153df1a25dcbfe2220b967,2012
Flo Rida Featuring T-Pain,Low,10000327,dcddd0ebee02d9142b39d092c823f88201547b7a,2007
Florida Georgia Line Featuring Nelly,Cruise,10000333,ba2d7d0437520d94d48e9678d645c0a8776c270a,2013
Foster The People,Pumped Up Kicks,10000336,db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a,2011
fun.,Some Nights,10000339,ffc0e31e3685cae5ed9b05c2a506da3f3e9ee2ab,2012
fun. Featuring Janelle Monae,We Are Young,10000340,af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6,2012
Glee Cast,Don't Stop Believin',10000343,a7f5e654f2f868c9953c7fd5eb70abf4b9dcf432,2009
Gotye Featuring Kimbra,Somebody That I Used To Know,10000356,9966639bc41a012f4ab638132bd041108fe70f4d,2012
Gwen Stefani Featuring Akon,The Sweet Escape,10000363,f4f3247fa1deaa89b0af9399790f0f78efcb9550,2007
Gym Class Heroes Featuring Adam Levine,Stereo Hearts,10000365,649de18156e9351fcbb8471c93a4ff20e427b25b,2011
Gym Class Heroes Featuring Patrick Stump,Cupid's Chokehold,10000367,88cbe3db22a02daa4f32fb3492fa641098c7b912,2007
Hozier,Take Me To Church,10000375,6aa0e63be87d568440aaf48e021e48d43c60ce3b,2014
Iggy Azalea Featuring Charli XCX,Fancy,10000383,b5da722614974b7843a307093a4b5661da4149d2,2014
Iggy Azalea Featuring Rita Ora,Black Widow,10000384,149031672993652b1dd1f1b50e624c10f5e7165c,2014
Imagine Dragons,Radioactive,10000388,33c3d1e4a9f98fa89afd3b2894bb4c14b2f6cfa5,2013
Iyaz,Replay,10000389,409a5fc7b41354e36172a0c0197f9d3298d31141,2009
Jamie Foxx Featuring T-Pain,Blame It,10000399,97d51ba563a024d39d76c2eb3296a9f090023a2c,2009
Jason DeRulo,Whatcha Say,10000412,9c0288e332c151689bf465a3f8b52a6c9d056e3a,2009
Jason Derulo Featuring 2 Chainz,Talk Dirty,10000413,222364acc54017734b3e55a124e41106849e76f8,2014
Jay Sean Featuring Lil Wayne,Down,10000418,15e47ec58edbd05ec9f2a0aaa285c84f9f796df0,2009
Jay Z Featuring Justin Timberlake,Holy Grail,10000423,469d8a907827cb331185eb17fbfb84191b5c800d,2013
Jay Z,Empire State Of Mind,10000426,00aea76663cf1a0ca10fb198268edee6ea5caf60,2009
Jay Z,Run This Town,10000429,e850c29020bfb40a18dce2bd5ccf2e2ff5fa5d12,2009
Jennifer Lopez Featuring Pitbull,On The Floor,10000434,1860a26c5584c1c87c34ad10055b98e56d77caaa,2011
Jeremih,Birthday Sex,10000435,c279b4f2b4640e54570f8403e05233c6b5f3aa52,2009
Jeremih Featuring 50 Cent,Down On Me,10000436,26e64cade1debdd3690f1ae5089428d31a124fd0,2011
"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,10000443,86669b71e75a13d3f6f36cce86cfb594c4b67421,2014
John Legend,All Of Me,10000446,488c53471e56ff9f629652691444438951e880bb,2014
Jordin Sparks Duet With Chris Brown,No Air,10000462,3fdf0096af650a0ab38749a07a6f879bbb903822,2008
Justin Bieber,Boyfriend,10000464,a8fd385d52e2502f28ab6e9f1ec136e0cd2061cd,2012
Justin Bieber,Love Yourself,10000468,2d89e5af25a276eaf6b9e56baef79a543263afab,2015
Justin Bieber,Sorry,10000473,407c995f072b7e6c318f08fa24d7b1b9c431ea40,2015
Justin Bieber,What Do You Mean?,10000474,f64117eb70a18577958f3e78e9cf53200203733e,2015
Justin Timberlake,Mirrors,10000480,2043119fe220aa6026c0adf77a90ad1f6440e18e,2013
Justin Timberlake,What Goes Around...Comes Around,10000484,f6f07bf44c8293d4ef5aa1bd76d0ef5ab8713775,2007
Justin Timberlake Featuring Jay Z,Suit & Tie,10000487,c3fe2fb6781682da6ba9a1d448c4af1a74ff7301,2013
Kanye West,Heartless,10000491,868bcafcfaaf7c64b2b848fd0b447c0ba35079f4,2008
Kanye West,Love Lockdown,10000492,97b067b894ef5a342eeccea0d85e366e65868f0e,2008
Kanye West,Stronger,10000493,4aef57f41599d325d774bd92bcfdae896581e2f9,2007
Katy Perry,Firework,10000506,e407c359a54830601fee51f9f2fb969e1c5ba12b,2010
Katy Perry,Hot N Cold,10000507,6337506b17d21a9e6e035a5c03d08fab19680cf4,2008
Katy Perry,I Kissed A Girl,10000508,29414f20ba1659e9f54612e358d881861aa90c2d,2008
