artist,title,key,song_url,year
Katy Perry,Last Friday Night (T.G.I.F.),10000509,102255c25347769652df929b2cedb748a7e49b4a,2011
Katy Perry,Part Of Me,10000510,652f91b3b611f9b00661ab3d389948341ed44f5d,2012
Katy Perry,Roar,10000511,b822209633436d7a9e246e3054ca04e25b4e9873,2013
Katy Perry,Teenage Dream,10000512,855b8d7f3eacdebc5e47e608d7c39e87d645c29f,2010
Katy Perry,The One That Got Away,10000513,b5ea313c86347616449e2a4e0d4f9882f0728fac,2011
Katy Perry,Wide Awake,10000516,e9df7f2803cca76a5b4c4dc6d89dd1e7ecc18849,2012
Katy Perry Featuring Juicy J,Dark Horse,10000517,dfdaa58f99bde9c96b2f85e41b6006c01ad5246f,2014
Katy Perry,E.T.,10000518,a7a7bd276646d54af6b81543f591693e8541a390,2011
Katy Perry Featuring Snoop Dogg,California Gurls,10000519,6d6284e8708cd21d7ff8442eba1dcdfb2181c468,2010
Ke$ha,Die Young,10000521,d97043cf8c44a1d41f46fd6534726cf383f4f896,2012
Ke$ha,TiK ToK,10000523,22cb2c598098cdb8a6a78fec39be79222202b1f9,2009
Ke$ha,We R Who We R,10000524,cb1f991b27c09acc753082cf7ebb1e4fb12daa7f,2010
Ke$ha,Your Love Is My Drug,10000525,e94abebd46eb8701315122a86781a52d907afa92,2010
Kelly Clarkson,My Life Would Suck Without You,10000536,5e6ac8ce6cca77b19f1cd5f033cddc52575be61d,2009
Kelly Clarkson,Stronger (What Doesn't Kill You),10000539,328bdd62e0e8f7f110cb546017ff3bf3042cc37a,2012
Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down,10000545,cbe345fdba511dec6a8b02fff0d891c82294c951,2009
Kid Cudi,Day 'N' Nite,10000550,8536575e309c55b36c21d01cf9d0e61857a0a212,2009
Kings Of Leon,Use Somebody,10000552,c1f5819057f7528777163bf7d75bf8609553c5be,2009
Lady Antebellum,Need You Now,10000560,efe8a78d99fbaa8c22df36f9eeab3cb288144648,2010
Lady Gaga,Applause,10000562,c49784e2cd49440d83769b7c6cc15eb95a74bc2f,2013
Lady Gaga,Bad Romance,10000563,fc64d009d4ec076911e8d3770c5f19e18f9ba8e9,2009
Lady Gaga,Born This Way,10000564,bac93735ed20a437f06c83b8171cee4d65f2c8a0,2011
Lady GaGa,Poker Face,10000570,595548d1cf381b2821dc4304a054f3f201d2e79c,2009
Lady Gaga,The Edge Of Glory,10000571,32bf7003b4419f67281e511d9f13faffbdb8e030,2011
Lady Gaga Featuring Beyonce,Telephone,10000573,ecc88a6db1e0c0c219a52c45d08d23e4959603ab,2010
Lady GaGa Featuring Colby O'Donis,Just Dance,10000574,bd95208b100acfb09e852e85fab77d6cf41c53d7,2008
Leona Lewis,Bleeding Love,10000580,1d96dedf8c01dd01b74d74c1a5314487d2168c89,2008
Lil Wayne Featuring Drake,She Will,10000594,a5720adb4b558545e80c2aac482b94629dc9a207,2011
Lil Wayne Featuring Static Major,Lollipop,10000597,6d6f464910c2af6fe6d07ae85baf9957d1a6b97e,2008
LMFAO,Sexy And I Know It,10000607,897c1a15947f993c56ee23d29515152023f0f0d2,2011
LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,10000608,41f10b78631a16405464983d7bf59213cc4d6dbf,2011
Lorde,Royals,10000609,bc4e8f47f5aa5b0b9a4fe1a25dfbd3b688bbfec5,2013
Ludacris Featuring Mary J. Blige,Runaway Love,10000615,943287624910c9f0facb2e22dbd0499fe4def375,2007
M.I.A.,Paper Planes,10000624,0b0d0452180421807155d894d4f7319d59fa11c5,2008
Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,10000627,1f826380a449ec9a8bae45967d908fffd7ff5222,2013
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,10000629,26cdc03872031160b4ec74e8b2bd21ae7359c46d,2013
Madonna Featuring Justin Timberlake,4 Minutes,10000631,3017f41234c54ef09c66f4d2ff47e1acee8d8a4e,2008
MAGIC!,Rude,10000634,c72b1ced01765ebb7cdc26c679a346bea13121d3,2014
Major Lazer,Lean On,10000635,a2fb514286bfd42f6b823f29ec3d965d90b89fb4,2015
Mariah Carey,Touch My Body,10000641,96c6040be8333d25d245c58293349141fb7b237c,2008
Mark Ronson Featuring Bruno Mars,Uptown Funk!,10000646,88a794d97fcb4475f72a27be7baf71b94d5a9dda,2014
Maroon 5,Animals,10000647,7ab69c291a580174b920519f8353f929f1ae53c6,2014
Maroon 5,Makes Me Wonder,10000650,d9ad64173af7809927df436b0a3b6f7458172b67,2007
Maroon 5,One More Night,10000653,78ea6cbd8e1763144b93e20e0ff257df0ac782ef,2012
Maroon 5,Sugar,10000654,ffc406aa1f05e387f9a2ba22d34d7a4947e21ae2,2015
Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,10000656,b7a41ee81f1059e6d470b2215ba08d6dc697eaa1,2011
Maroon 5 Featuring Wiz Khalifa,Payphone,10000657,c3048dede865a8de64b0e0348ae7676c213b961a,2012
Meghan Trainor,All About That Bass,10000662,d20d6fc24fbf2eae191b3d943e1b640570acb466,2014
Meghan Trainor,Lips Are Movin,10000664,9e4bce5c73ece37129d9d00dab3dba786d88af05,2014
Miley Cyrus,Party In The U.S.A.,10000677,17510ecd6951bd3aa9c24d7c7fa3d694995a25be,2009
Miley Cyrus,The Climb,10000679,d8f1adc56370f18c3b1d283ce3f7b0de6e8f7eac,2009
Miley Cyrus,We Can't Stop,10000680,aecde65a56a36be26c6f35984c73fb778099238f,2013
Miley Cyrus,Wrecking Ball,10000682,77209833cfb379deb15963a50a71f380d1902f0e,2013
Mims,This Is Why I'm Hot,10000683,5129ee97760c8518e4a53999ff8708f08a71c06c,2007
Ne-Yo,Because Of You,10000698,b94aed250f71ffe55b4eff3801bb7b13a962d034,2007
Nelly,Just A Dream,10000707,69910b75b9d914c7a426e5315e50a5fdbcca14ea,2010
Nelly Furtado,Say It Right,10000711,beb5a7cfd1f415226051384404b63ae78fd17a59,2007
Nicki Minaj,Anaconda,10000725,a66ceb0e7f2b82696441dd234710e8d58117a5d8,2014
Nicki Minaj,Super Bass,10000728,3259a4b5c03abe418773605b0b50bf3a4a2262c0,2011
Nico & Vinz,Am I Wrong,10000734,9ecf91e6cfd4a85b9f9600772bf6d224e051e052,2014
OMI,Cheerleader,10000739,ff90cda2cbf878f7769d36f2c9923a3d1bff925f,2015
One Direction,Best Song Ever,10000740,6c25ec054e7b6e5beb0e60efe2dc35a069115693,2013
One Direction,Drag Me Down,10000742,4aa177e8654638553a90eafb7eafc0806441f112,2015
One Direction,Live While We're Young,10000743,b5c644863d8bd68653ecb74bc1bae42ccdb16d7f,2012
One Direction,What Makes You Beautiful,10000749,842a51a2c6c77d326c08634d17cfed77d2219889,2012
OneRepublic,Counting Stars,10000751,4d925f34b29da74caba915d2e72d43ff2dc92f55,2013
Owl City,Fireflies,10000756,ab98d674ff206f2eb0b0c45fa9c91f69b5f93596,2009
P!nk,F**kin' Perfect,10000759,be7d716b8a98609d5b39b9076462c7dbf7b6b386,2011
P!nk,Raise Your Glass,10000760,a2ca4557b2df821561618d096a5b08f21374d95e,2010
P!nk Featuring Nate Ruess,Just Give Me A Reason,10000763,ef4de7cafc3510bd0664b6173c79dc6dee229039,2013
Pharrell Williams,Happy,10000771,609cf640a652b3ca4d22b1d604f0885b7a591af9,2014
Pink,So What,10000775,114b04e8350cb15364238b0c12b132144baa7ad5,2008
Pitbull,I Know You Want Me (Calle Ocho),10000781,6f403695269d85830ce4e3aaa9004331595c2269,2009
Pitbull Featuring Ke$ha,Timber,10000785,ecb1639c58ceb6311919373fe56399e3ec242045,2013
"Pitbull Featuring Ne-Yo, AfroJack & Nayer",Give Me Everything,10000786,ca42c116bedd994141b8d697ba7d7cf1b521cb2f,2011
Plain White T's,Hey There Delilah,10000789,f6996f721fdf996a35f88c398035281763f01eef,2007
Psy,Gangnam Style,10000797,edb7e8e97dbf68af0463fee4a0a537b07f8f757a,2012
Ray J,Sexy Can I,10000809,c57b030f4c0a378d9127ee17584e710b068b0946,2008
Rihanna,Diamonds,10000816,2ab1a74f896e1311fb6535719baa8599a79d6cc4,2012
Rihanna,Disturbia,10000817,324f305bcdc10e3da94550eee55bed4065400e19,2008
Rihanna,Don't Stop The Music,10000818,6ed3097e490b67e39b05b7ec87740a584dcb64cb,2008
Rihanna,Only Girl (In The World),10000819,2def2a9db5afe39667faf5203c558937c945f306,2010
Rihanna,Rude Boy,10000823,145b01b8ffe111b30c6bbf12f52595a73bec7bb2,2010
Rihanna,S&M,10000825,dfb10a30b2fcf2ed3ed3458fbac4b4ea1d008d1f,2011
Rihanna,Take A Bow,10000828,8d24dc62f79452aa446d06794aad76ca6b343432,2008
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,10000832,1fae71ff6675b0a8986c982b4679da978e174870,2015
Rihanna Featuring Calvin Harris,We Found Love,10000834,0b26fe99727489470523fbfbff12f9bfb5b1c164,2011
Rihanna Featuring Drake,What's My Name?,10000835,712c430b3fcc066317e55c705e85e55cc7dc3783,2010
Rihanna Featuring Jay-Z,Umbrella,10000836,d4dc709a0ef2c7cb87e34571b60183c912e7511b,2007
Rihanna Featuring Mikky Ekko,Stay,10000838,048c43385f646b6f5cc9aaea289fbabd41ca8f14,2013
Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,10000843,4248c4834884d5e02dc713f588d48ad7cbcdd35c,2013
Sam Smith,Stay With Me,10000849,3c36f7d66273c058fcfdb029fd418cbb1843c02c,2014
Sara Bareilles,Love Song,10000850,6a346c9d0573a678ca5b2d001c8884d4161b850c,2008
Sean Kingston,Beautiful Girls,10000853,149a2a28b7acbe31096d9f3cb4618ef08926c8b2,2007
Shop Boyz,Party Like A Rockstar,10000871,aced0e92c35b31454f3536cc03de346e89662056,2007
Silento,Watch Me,10000874,e99fb557264e4068496aa94778e4fcd197fc0fc5,2015
Soulja Boy Tell 'Em,Kiss Me Thru The Phone,10000882,cf202f19fc4fd27eacab4aaa8228532fdf2ab9a9,2009
Soulja Boy Tell'em,Crank That (Soulja Boy),10000883,ad8fecf0e25bdacc72693cd2fc0fe9393c2c33ca,2007
T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin'),10000893,0f56c023a3ce2ad0eeeaeb8bf46f8a2b61f2c272,2007
T.I.,Whatever You Like,10000898,c82678be83d118b5d815dda0ecc00b5ad99e81e3,2008
T.I. Featuring Justin Timberlake,Dead And Gone,10000900,66fcdde9a21b8b63fa4fdc995ac8c0b17c8b113f,2009
T.I. Featuring Rihanna,Live Your Life,10000901,58db452df6a351cc652e065ac8c6c0febef793cb,2008
Taio Cruz,Dynamite,10000902,7605d625f1425aedd7acfa2da88ea22434fb4d5d,2010
Taio Cruz Featuring Ludacris,Break Your Heart,10000903,e4cdc1aaa8b9012b3ea994b798b4e5a9094fbb8d,2010
Taylor Swift,Blank Space,10000908,85e0ace6bcbb5e62bbc178edc4f09d1c00bfa938,2014
Taylor Swift,I Knew You Were Trouble.,10000913,0d0123d7e6e1f259e797455b17e58280ba8468e5,2012
Taylor Swift,Love Story,10000916,905a53b8e604bf8fab2063c4c5a23a3409c39440,2009
Taylor Swift,Mine,10000918,688c1635aaa1f8e95cae19135216024aec6ff96e,2010
Taylor Swift,Shake It Off,10000924,bc46ee02557aa7268f74de4c08ae27bf3798a4b9,2014
Taylor Swift,Today Was A Fairytale,10000930,81e45de5a9474e4c044364100d7dd40fbe99b857,2010
Taylor Swift,We Are Never Ever Getting Back Together,10000932,b1bca0f9a28301ac8baec5d5ccb7eff161be47c1,2012
Taylor Swift,You Belong With Me,10000935,8fff5eec81433d4da20c63f2552e2fff3a19d5c5,2009
Taylor Swift Featuring Kendrick Lamar,Bad Blood,10000937,fe1cfa1de777c7a906f6f57f90fda609dc7e3e29,2015
The All-American Rejects,Gives You Hell,10000939,22e2edbabafce24ba0414ee19b972d89866bd378,2009
The Black Eyed Peas,Boom Boom Pow,10000943,dedfa177258d062f954c9629c7d38e7e161fd924,2009
The Black Eyed Peas,I Gotta Feeling,10000946,e7ec841b64d6101eff6e20fb69f8b540927f9207,2009
The Black Eyed Peas,Imma Be,10000947,fbcf1f3d4cb234af8ab015b2a9e675eee7d52e01,2010
The Black Eyed Peas,Just Can't Get Enough,10000948,702c1bb473e86f517fedf206f7578d16f22d49ee,2011
The Black Eyed Peas,The Time (Dirty Bit),10000953,6e13c600fdc799910602d3dbe5c796009d18079a,2010
The Lumineers,Ho Hey,10000963,ca8ab3371a6f3418f155229972a49dfc65b735e8,2012
The Wanted,Glad You Came,10000973,751988e0f13c123ca5a385db4ef0c39043cdd62c,2012
The Weeknd,Can't Feel My Face,10000974,bcf7760f45c81ec90b1fe7ebf9bc3809cc459b17,2015
The Weeknd,Earned It (Fifty Shades Of Grey),10000975,e2fbd6892cbd872408f2dd1d61e84056489127ae,2015
The Weeknd,The Hills,10000977,791a673947620eac26675c268f94b8fcca12a500,2015
Timbaland Featuring Keri Hilson,The Way I Are,10000984,5bbdd77bbe97b3524466159df408126549c63c4f,2007
Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,10000985,b20627550a73c2b5efc05109c21498d98ee80bfa,2007
Timbaland Featuring OneRepublic,Apologize,10000986,9c21a31040b9c0c5aa95008c8ac97b0849147eff,2007
Tove Lo,Habits (Stay High),10000989,73e3448667d8a0d00844498fd9aadd4ae4cc8524,2014
Train,"Hey, Soul Sister",10000994,b6393162ba6857ed9954230a0f2a2f1c3cab0883,2010
Travie McCoy Featuring Bruno Mars,Billionaire,10000996,bb1c32e7c8466d3cbbf01e268f3a572f4d3b0fb9,2010
Usher Featuring Pitbull,DJ Got Us Fallin' In Love,100001014,41a0dfd592f5e44d949fef867a8105966a4b4bd8,2010
Usher Featuring will.i.am,OMG,100001015,234ee33a94a9570edb638638576bc0015ce797e0,2010
Usher Featuring Young Jeezy,Love In This Club,100001016,69611cd7895a738d0516704d3ff67bf2889a4354,2008
WALK THE MOON,Shut Up And Dance,100001018,50171ad2206e8f6b2ecad2266d353472427c358e,2015
Whitney Houston,I Will Always Love You,100001022,87cd92b04f6501ecace9f7f2a6b12802fc2cc437,2012
will.i.am & Britney Spears,Scream & Shout,100001024,aabf14de8fa8928aa9efef1ebf927286379356a2,2013
Wiz Khalifa,Black And Yellow,100001027,743b231f046440a6076fef4bb670f133d05651fc,2011
Wiz Khalifa Featuring Charlie Puth,See You Again,100001031,590bd9bcd6271980f996a447d6e7b0b651cc3dc5,2015
Young Money Featuring Lloyd,Bedrock,100001044,e2a621db22dae6162ee3e7dcd443ba9aecc9ce73,2010
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",185,1ac1296504060f79d43c79b117cc4945b488fc87,2007
Fergie,Fergalicious,440,3cdb4d0d2329859c7b9a3abbca39b45e8e705eb2,2006
Nelly Furtado,Say It Right,488,d37399433b971e97d3214ae3e2c8da53ba1c8991,2007
Daughtry,It's Not Over,495,29705faacb871ad023d1afb7af5ef10b366843b4,2007
Beyonce,Irreplaceable,520,b1cd9ecf3b5108363846f497897b5bcbec44343a,2006
Justin Timberlake,SexyBack,521,e4ff7d627759f7c67e5814ddd821ba6b507136da,2006
Nelly Furtado,Promiscuous,522,91a5d06c9d1f04cdf3d7078c450ccbe92538d7bd,2006
Daniel Powter,Bad Day,523,0124255ee5fc654a8fdf8573181d516f1eb1f410,2006
Beyonce,Check On It,524,1dcf37738464818eceeb9d58a9df622a569c0745,2006
Justin Timberlake,My Love,525,1c6b31ad7fbe2710ca3e95125a2a3fa3e150b4f4,2006
Fergie,London Bridge,526,9fbcfa9997dbcceaf664c54cb3f8bb4a043062ae,2006
Rihanna,SOS,527,1bbdd82d6924371cedd783abed5309b2b8ee7642,2006
Akon,I Wanna Love You,528,9ffbad34441e5f4630f45c95aa229ab47e07fe81,2006
